defund_support,lives_in_metro_area,is_female,education_level,is_hispanic,is_citizen,relig_activity,income_bracket,internet_access,social_media_user,region_east_south_central,region_mid_atlantic,region_mountain,region_new_england,region_pacific,region_south_atlantic,region_west_north_central,region_west_south_central,age_group,race_asian,race_black,race_mixed,race_other,race_white,marital_status_live_w_partner,marital_status_married,marital_status_separated,marital_status_single,marital_status_widowed,religion_agnostic,religion_atheist,religion_buddhist,religion_catholic,religion_hindu,religion_jewish,religion_mormon,religion_muslim,religion_none,religion_orthodox,religion_other,religion_protestant,political_party_dem,political_party_gop,political_party_ind,voter_status_not_registered,voter_status_prob_registered,voter_status_registered
3.0,1,1.0,3.0,0.0,1.0,6.0,4.0,1,1.0,0,1,0,0,0,0,0,0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
5.0,1,0.0,5.0,0.0,1.0,3.0,8.0,1,1.0,0,1,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,1,0.0,6.0,0.0,1.0,5.0,9.0,1,1.0,0,0,0,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,1,1.0,6.0,0.0,1.0,6.0,7.0,0,0.0,0,0,0,0,1,0,0,0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,1,0.0,5.0,0.0,1.0,2.0,8.0,1,1.0,0,0,0,0,0,0,0,1,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,1,0.0,5.0,0.0,1.0,5.0,8.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
5.0,1,0.0,6.0,0.0,1.0,6.0,6.0,1,1.0,0,0,0,0,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,1,1.0,2.0,0.0,1.0,5.0,6.0,1,1.0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
3.0,1,0.0,2.0,0.0,0.0,5.0,5.0,1,1.0,0,0,0,0,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2.0,1,1.0,2.0,0.0,1.0,4.0,5.0,1,1.0,0,0,0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1.0,1,1.0,2.0,0.0,1.0,5.0,8.0,0,1.0,0,0,0,0,0,1,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3.0,1,0.0,2.0,0.0,1.0,4.0,9.0,1,1.0,0,1,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,1,1.0,2.0,1.0,1.0,5.0,3.0,1,0.0,0,0,0,0,1,0,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,1,0.0,6.0,0.0,1.0,2.0,9.0,1,1.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,1,1.0,3.0,0.0,1.0,5.0,3.0,0,1.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,0,1.0,5.0,0.0,1.0,5.0,6.0,1,1.0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5.0,1,1.0,6.0,0.0,1.0,5.0,4.0,1,1.0,0,0,0,0,1,0,0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1.0,1,1.0,3.0,0.0,1.0,2.0,6.0,1,0.0,0,0,0,0,0,0,1,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
5.0,1,1.0,5.0,0.0,1.0,6.0,7.0,1,1.0,0,0,0,0,1,0,0,0,3.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,1,1.0,6.0,0.0,1.0,4.0,8.0,1,1.0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1.0,1,0.0,2.0,0.0,1.0,5.0,4.0,1,0.0,0,0,0,0,1,0,0,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,0,1.0,5.0,0.0,1.0,6.0,6.0,1,0.0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4.0,1,1.0,3.0,0.0,1.0,6.0,4.0,0,0.0,0,0,0,0,1,0,0,0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3.0,1,0.0,2.0,0.0,1.0,2.0,3.0,1,1.0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2.0,1,1.0,3.0,0.0,1.0,6.0,8.0,1,1.0,0,0,0,0,0,1,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2.0,1,0.0,4.0,0.0,1.0,2.0,7.0,1,0.0,0,0,0,0,0,1,0,0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2.0,1,0.0,3.0,1.0,1.0,5.0,7.0,1,1.0,0,0,1,0,0,0,0,0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
3.0,1,1.0,2.0,0.0,1.0,4.0,2.0,1,0.0,0,0,0,0,1,0,0,0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2.0,0,0.0,3.0,0.0,1.0,1.0,6.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
4.0,1,0.0,5.0,0.0,1.0,5.0,6.0,1,1.0,0,1,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,1,0.0,6.0,0.0,0.0,1.0,8.0,1,1.0,0,0,0,0,0,1,0,0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4.0,1,1.0,6.0,0.0,1.0,5.0,6.0,1,1.0,0,0,0,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1.0,1,1.0,2.0,0.0,1.0,2.0,3.0,1,1.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2.0,1,1.0,5.0,0.0,1.0,2.0,3.0,1,1.0,0,0,0,0,1,0,0,0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,1,0.0,1.0,0.0,1.0,6.0,3.0,1,1.0,0,0,0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3.0,1,0.0,3.0,0.0,1.0,2.0,7.0,0,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
5.0,1,0.0,6.0,0.0,0.0,6.0,9.0,1,1.0,0,0,0,1,0,0,0,0,3.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3.0,1,0.0,4.0,0.0,1.0,5.0,6.0,1,0.0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2.0,1,1.0,3.0,1.0,1.0,4.0,5.0,1,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
4.0,1,1.0,6.0,0.0,1.0,5.0,7.0,1,1.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
3.0,1,1.0,3.0,0.0,1.0,6.0,7.0,1,1.0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2.0,0,1.0,2.0,0.0,1.0,4.0,6.0,0,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2.0,1,0.0,2.0,0.0,1.0,6.0,6.0,1,1.0,1,0,0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5.0,1,0.0,2.0,0.0,1.0,4.0,5.0,1,0.0,0,0,0,0,0,1,0,0,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5.0,1,0.0,6.0,0.0,1.0,6.0,9.0,1,1.0,0,0,0,0,1,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1,1.0,4.0,0.0,1.0,5.0,8.0,1,1.0,1,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3.0,1,1.0,6.0,1.0,1.0,3.0,7.0,1,1.0,0,0,0,0,0,0,0,1,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,1,0.0,3.0,0.0,1.0,3.0,3.0,1,0.0,0,0,0,0,1,0,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2.0,1,0.0,2.0,0.0,1.0,3.0,2.0,1,1.0,0,0,0,0,0,1,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4.0,1,0.0,6.0,0.0,1.0,2.0,7.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,1,1.0,3.0,0.0,1.0,4.0,6.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3.0,1,0.0,6.0,0.0,1.0,2.0,5.0,1,1.0,0,0,1,0,0,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
4.0,1,1.0,5.0,0.0,1.0,5.0,3.0,1,0.0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3.0,0,0.0,2.0,0.0,0.0,6.0,2.0,1,0.0,0,0,0,0,0,0,0,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3.0,1,1.0,5.0,0.0,1.0,1.0,2.0,1,1.0,0,1,0,0,0,0,0,0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5.0,0,0.0,2.0,1.0,1.0,4.0,3.0,1,1.0,0,0,1,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3.0,1,0.0,6.0,0.0,1.0,2.0,6.0,1,1.0,0,0,0,0,1,0,0,0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3.0,1,0.0,5.0,0.0,1.0,6.0,6.0,1,0.0,0,1,0,0,0,0,0,0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2.0,1,1.0,4.0,0.0,1.0,6.0,7.0,1,1.0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4.0,1,0.0,5.0,0.0,1.0,6.0,7.0,1,1.0,0,0,0,0,1,0,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,1,0.0,1.0,0.0,1.0,3.0,4.0,1,0.0,0,0,0,0,0,1,0,0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3.0,1,1.0,5.0,0.0,1.0,3.0,4.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1.0,1,1.0,4.0,0.0,1.0,2.0,7.0,1,1.0,0,0,0,0,0,0,0,1,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3.0,1,0.0,2.0,0.0,1.0,5.0,1.0,1,0.0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4.0,1,1.0,3.0,0.0,1.0,5.0,8.0,1,0.0,0,0,0,1,0,0,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,1,1.0,6.0,0.0,1.0,6.0,5.0,1,1.0,0,0,0,0,1,0,0,0,4.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5.0,1,0.0,4.0,0.0,1.0,2.0,6.0,1,1.0,0,1,0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,1,0.0,2.0,0.0,1.0,4.0,6.0,1,0.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3.0,1,1.0,6.0,0.0,1.0,6.0,9.0,1,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2.0,1,1.0,6.0,0.0,1.0,6.0,8.0,1,1.0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,1,0.0,3.0,0.0,1.0,6.0,9.0,1,0.0,0,0,1,0,0,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
3.0,1,1.0,6.0,0.0,1.0,4.0,9.0,1,1.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2.0,1,0.0,4.0,0.0,1.0,4.0,6.0,1,1.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3.0,1,1.0,6.0,0.0,1.0,6.0,6.0,1,0.0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2.0,1,1.0,3.0,1.0,1.0,2.0,8.0,1,1.0,0,0,0,0,1,0,0,0,3.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3.0,1,0.0,6.0,0.0,0.0,6.0,6.0,1,1.0,0,0,0,0,0,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2.0,1,0.0,3.0,0.0,1.0,4.0,7.0,1,1.0,0,0,0,0,0,0,0,0,3.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3.0,1,1.0,5.0,1.0,1.0,1.0,9.0,1,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5.0,1,1.0,2.0,0.0,1.0,2.0,3.0,0,1.0,1,0,0,0,0,0,0,0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3.0,1,1.0,3.0,0.0,1.0,3.0,1.0,0,0.0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
3.0,1,0.0,6.0,0.0,0.0,2.0,8.0,1,0.0,0,0,0,0,0,0,1,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,0,1.0,3.0,0.0,1.0,5.0,4.0,1,1.0,0,0,0,0,0,0,0,1,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,1,1.0,5.0,0.0,1.0,2.0,5.0,0,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5.0,1,1.0,5.0,0.0,1.0,6.0,9.0,1,1.0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5.0,1,0.0,5.0,0.0,1.0,5.0,9.0,1,1.0,0,1,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,1,0.0,2.0,0.0,1.0,3.0,4.0,1,1.0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1.0,1,1.0,6.0,1.0,1.0,1.0,6.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2.0,1,1.0,4.0,1.0,0.0,6.0,3.0,1,0.0,0,0,0,0,1,0,0,0,4.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4.0,1,1.0,5.0,0.0,1.0,3.0,7.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1.0,1,1.0,3.0,1.0,1.0,6.0,5.0,1,1.0,0,0,1,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,0,1.0,3.0,0.0,1.0,1.0,3.0,1,1.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
4.0,1,0.0,6.0,0.0,1.0,4.0,9.0,1,1.0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5.0,1,1.0,3.0,0.0,1.0,5.0,2.0,1,1.0,0,0,1,0,0,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4.0,1,1.0,6.0,0.0,1.0,5.0,8.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
4.0,1,0.0,3.0,0.0,1.0,5.0,6.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3.0,0,0.0,6.0,0.0,1.0,2.0,1.0,1,1.0,0,0,0,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3.0,1,0.0,3.0,0.0,1.0,5.0,5.0,1,1.0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2.0,1,0.0,2.0,0.0,1.0,3.0,7.0,1,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3.0,1,0.0,5.0,0.0,1.0,2.0,6.0,1,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2.0,0,1.0,1.0,0.0,1.0,5.0,1.0,1,1.0,0,1,0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
3.0,1,0.0,4.0,0.0,1.0,2.0,6.0,1,1.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3.0,1,1.0,2.0,0.0,1.0,2.0,5.0,0,0.0,0,0,0,0,1,0,0,0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3.0,1,0.0,3.0,0.0,1.0,6.0,2.0,1,1.0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2.0,1,0.0,3.0,1.0,1.0,1.0,8.0,1,1.0,0,0,0,0,1,0,0,0,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3.0,1,1.0,5.0,0.0,1.0,5.0,9.0,1,1.0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1.0,1,0.0,5.0,0.0,1.0,1.0,3.0,1,0.0,0,0,0,0,0,1,0,0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5.0,1,0.0,5.0,0.0,1.0,5.0,9.0,1,1.0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3.0,1,0.0,5.0,0.0,1.0,4.0,8.0,1,1.0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4.0,1,1.0,6.0,0.0,1.0,4.0,9.0,1,0.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3.0,1,1.0,2.0,0.0,1.0,4.0,5.0,0,0.0,0,0,0,0,0,1,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3.0,1,1.0,2.0,0.0,1.0,5.0,4.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2.0,1,1.0,3.0,0.0,1.0,2.0,3.0,1,1.0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
4.0,1,0.0,6.0,0.0,1.0,6.0,5.0,1,1.0,1,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,1,1.0,4.0,1.0,1.0,6.0,9.0,1,1.0,0,0,0,0,0,1,0,0,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4.0,1,0.0,6.0,0.0,1.0,6.0,9.0,1,1.0,0,0,1,0,0,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,0,0.0,5.0,0.0,1.0,5.0,4.0,1,0.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3.0,1,0.0,3.0,0.0,1.0,5.0,3.0,1,0.0,0,0,0,0,0,1,0,0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4.0,1,0.0,2.0,0.0,1.0,2.0,7.0,1,0.0,0,0,0,0,0,0,1,0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3.0,1,0.0,4.0,0.0,1.0,2.0,9.0,1,1.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,1,0.0,2.0,0.0,1.0,6.0,6.0,1,0.0,0,0,1,0,0,0,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
3.0,1,1.0,6.0,0.0,0.0,5.0,5.0,1,1.0,0,0,0,0,0,1,0,0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3.0,1,1.0,2.0,0.0,1.0,6.0,3.0,1,1.0,0,0,0,0,0,1,0,0,4.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
